Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2021-05-14,435922.7909850195,21097.85372214901,457020.64470716857,457719.8239178314,-0.0015275266093529663
2021-05-17,435697.0534514502,21097.85372214901,456794.90717359923,457719.8239178314,-0.002020705016259502
2021-05-18,436240.9962653235,21097.85372214901,457338.8499874725,457719.8239178314,-0.0008323299766611771
2021-05-19,436878.2345007971,21097.85372214901,457976.08822294616,457976.08822294616,0.0
2021-05-20,437490.62885275634,21097.85372214901,458588.4825749054,458588.4825749054,0.0
2021-05-21,437971.14742270263,21097.85372214901,459069.0011448517,459069.0011448517,0.0
2021-05-24,437923.3751105383,21097.85372214901,459021.22883268737,459069.0011448517,-0.00010406346768169797
2021-05-25,436703.0848120764,21097.85372214901,457800.93853422545,459069.0011448517,-0.0027622483928643757
2021-05-26,436758.9650153235,21097.85372214901,457856.8187374725,459069.0011448517,-0.002640523329512868
2021-05-27,437744.02084341797,21097.85372214901,458841.874565567,459069.0011448517,-0.0004947547726338461
2021-05-28,437484.77016440185,21097.85372214901,458582.6238865509,459069.0011448517,-0.0010594861711155114
2021-05-31,437274.6858023718,21097.85372214901,458372.53952452086,459069.0011448517,-0.0015171175108620622
2021-06-01,437823.92097464355,21097.85372214901,458921.7746967926,459069.0011448517,-0.0003207065772071749
2021-06-02,436957.8695677832,21097.85372214901,458055.72328993224,459069.0011448517,-0.0022072452123590683
2021-06-03,437800.16735068115,21097.85372214901,458898.0210728302,459069.0011448517,-0.00037244961344609374
2021-06-04,438050.4837035254,21097.85372214901,459148.3374256744,459148.3374256744,0.0
2021-06-07,436940.2684592322,21097.85372214901,458038.1221813812,459148.3374256744,-0.0024179881615555916
2021-06-08,436442.71015158447,21097.85372214901,457540.5638737335,459148.3374256744,-0.0035016429787272825
2021-06-09,436375.9464453772,21097.85372214901,457473.80016752623,459148.3374256744,-0.003647050684179516
2021-06-10,436203.01471701416,21097.85372214901,457300.8684391632,459148.3374256744,-0.004023686542936232
2021-06-11,436481.5506171301,21097.85372214901,457579.40433927916,459148.3374256744,-0.00341705056625461
2021-06-14,436575.1460646704,21097.85372214901,457672.99978681945,459148.3374256744,-0.003213204793742292
2021-06-15,435881.4650153235,21097.85372214901,456979.3187374725,459148.3374256744,-0.00472400423001209
2021-06-16,435932.8792952612,21097.85372214901,457030.73301741027,459148.3374256744,-0.004612026736581512
